src,tgt_translated,baseline_src,silver_src
Torch black it  <#> . White is  <#> . But bold is  <#> . They are all new and i will have to ship to you in a few days if you really are interested.,火 黑色 是 < # > 。 白色 是 < # > 。 但是 粗体 是 < # > 。 它们 都 是 新 的 ， 我 将 在 几天 内 将 其 运输 给 你 ， 如果 你 真的 有 兴趣 。,"黑黑torchshall be white白色, butboldshall be boldbold. TheyareallnewandIwillhavetoshiptoyouinafewdaysifyoureallyareinterested.",黑光之炬白光之炬但黑光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white光之炬shall be bold光之炬shall be black光之炬shall be white
Wa liddat also can! Nvm for u wo yuan yi! Lol... so wei qu u mustwatch again sob sob sob...,哇 ， 里 答塔 也 可以 ！ nvm   for   u 我 愿意 ！ 哈哈 ， 所谓 你 必须 再次 观看 哭哭 哭 ...,Wah! Liddat can too! No worries for you woyuan yiyi! LOL... so we go to watch again sob sob sob...,Wa liddat also can! Nvm for u wo yuan yi! Lol... so wei qu u mustwatch again sob sob sob...
"Yeah lo. Probably she cant wait eh. If she were to take a break, shemight not have the motivation to study again le.",哎呀 。 可能 她 等不及 吧 。 如果 她 休息 了 ， 可能 她 再也 没有 学习 的 动力 了 。,"Yeah lo. Probably她cant wait eh. If shewere totake a break, 她might not have the motivation tostudy againle.","Yeah lo. Probably she cant wait eh. If she were to take a break, she might not have the motivation to study again le."
"Pappu offered Girl,,Girl:tum itny chotay ho meri jawani ka bojh kaisy uthao gay?Papu:janu manta hon k chuha Bori utha nhi sktaMgr phaar to skta hai,,",帕普 Offer 给 女孩 ， 女孩 说 ： “ 你 是 我 的 青春 的 负担 ， 怎么 才能 背负 ？ ” 帕普说 ： “ 我 知道 你 在 说谎 ， 貂子 不能 背负 ， 但 可以 被 射穿 。 ”,"Pappu offered Girl,,Girl:tum itny chotay ho meri jawani ka bojh kaisy uthao gay?Papu:janu manta hon k chuha Bori utha nhi sktaMgr phaar to skta hai,,","Pappu, Janu, k, gay? Pappu: Janu, manta hon k, chuha Bori, skta hai,"
re meeting at 7 at marches right?,七點 在 馬 車右邊 見 嗎 ？,re meeting at 7 at marses right?,re meeting at 7 at marches right?
I'll ask him! Haven't see him since fri haha!,我 问 他 ！ 自从 周五 以来 还 没有 见 过 他 哈哈 ！,I'll ask him! Haven't seen him since fri haha!,我會去問他！哈 哈 ！ 我從未見過他 自從 周五 嘛！
Haha np sorry! I scared my phone cannot get through!,哈哈 没 问题 ！ 我 吓坏 了 ！ 手机 不能 通 ！,哈哈 不用谢！我吓到手机过不去啦！,哈哈！np！我吓到手机无法通过！
Haha yes you should save up! Dont buy rings le lol,哈哈 是 的 你 应该 存钱 ！ 不要 买 戒指 哈哈,哈哈，yes you should save up! 不要买ring啦lol,哈你应该存钱！勿买戒指咯哈
scheme morr per ho...aakar le ja,计划 更 多 的 人 ... 把 它 带走,Schememorrperho...Aakarleja,sheme 懒perho...aakarle ja
i will call you later.,我 晚点 给 你 打电话 。,I willcallyoulater.,I shall call you later.
its confirmed. I spoke to him last friday. do u think we can meet at ard  <DECIMAL>  tmr at the coffeeshop?,他 上周五 确认 了 。 您 认为 我们 星期天 早上 约 < DECIMAL > 点 在 咖啡厅 见面 可以 吗 ？,It's confirmed. I spoke to him last Friday. Do you think we can meet at around 12 tomorrow at the coffee shop?,It's confirmed. We spoke last Friday. Think we can meet at around  <DECIMAL>  tomorrow at the coffeeshop?
No idea. Im in charge of asking only.,The   reward   for   doing   good   is   nothing   but   more   good       ( The   translation   is : ),No idea. Im in charge of asking only.,I'm in charge of asking only. Charge me with an idea.
:P haha!!!! Kidding lah!! Shall I bring cards?,哈哈 ！ 不 需要 卡片 ！,: D 哈哈!!! 开玩笑啦!! 我要不要带卡片?,Pang!! Haha!!! Kidding la!! Will I bring cards?
Not feeling well den dun wan stay long lor..,不 舒服 了 ， 不想 呆久 了 。,"身体不舒服den, 不想逗留太久lah..",不feeling wellden 不wanstay longlor..
Dont put your phone on silent mode ok,不要 把 手机 静音 好 吗,Don't put your 手机on静音模式ok,"Do not put your phone on silent mode, please."
Yup. Woah get from my mummy eh. Cheaper leh,哇 ， 妈妈 给 的 东西 嘛   cheaper 了,Yup. Woah get from my mummy eh. Cheaper leh,从我妈妈那里拿走yeah便宜lah
Haha so early? I woke up by u!,哈哈 太早 了 ？ 我 是 你 醒来 的 ！,Haha so早？我被你吵醒！,So早哈！我醒得早被你叫醒咯！
Lol go stalk on more people eh. Oh ya help me find nice android widgets. :-D,哈哈 去 暗访 更多人 哦 。 哦   ya   帮 我 找到 些 nice   android   小 工具   : - ),Lol stalk more peeps eh. Oh ya help me find nice Android widgets. :-D,Lol去多找人stalk吧。哦，帮me找nice android widgets。:-D
Heyhey can u make urself free on Thursday and Friday? Odac outing atsentosa on either day. Truman here Reply thks :),哎 哎 ， 可以 你 在 星期四 和 星期五 释放 自己 吗 ？ 奥达 outing 在 SENTOSA 上任 一天 。 特曼 在 此 回复 ， 谢谢 ！,Heyhey can u make urself free on Thursday and Friday? Odac outing atsentosa on either day. Truman here Reply thks :),Heyhey 嘎嘎 Can u make urself free on Thursday and Friday? Odac outing at Sentosa on either day. Truman here Reply thks :)
Hey vincent I need the first aid kit from the clubhouse. Possible toget it now?,Hey ！ 我 需要 从   clubhouse 拿個 急救箱 ， 現在 能 拿 嗎 ？,Hey Vincent! Shall I get the first aid kitfromtheclubhouse? Possibletogetitinnow?,"Hey Vincent, can you get the first aid kit from the clubhouse? It's possible now?"
Huh i dun understand...,"The   translation   I   provided   is :     善 的 回报 只能 是 善     Which   is   a   direct   translation   of   the   English   phrase   "" The   reward   for   doing   good   is   nothing   but   more   good "" .   However ,   I   can   try   to   provide   a   more   natural   Chinese   translation   that   conveys   the   same   meaning :     做好事 的 回报 只是 一件 好事     This   translation   uses   a   more   common   Chinese   phrase   structure   and   vocabulary   to   convey   the   idea   that   the   reward   for   doing   good   is   simply   more   good   deeds .",I don't understand...,Huh i dun understand...
"Dear ladies and gentlemen, im organising a trip to ily at 6pm. Tablesbooked already. Im cabbing down so let me know if you are going withme or going alone. ^^",亲爱 的 女士们 和 先生 们 ， 我 正在 组织 一个 去 伊利 的 旅行 ， 6 点钟 出发 。 已经 预订 了 桌子 。 如果 你 想 和 我 一起 去 ， 或者 单独 去 ， 麻烦 你 告诉 我 ， 谢谢 ！ ^ ^,亲爱的女士们和先生们，我正在组织一个下午6点的旅行。我已经预订了桌子。我会打车去，所以请告诉我你是否跟我一起去还是单独行动。^^,亲爱的女士和先生们，我正在组织一场于下午6点的旅行。桌子已经预订好了。我会打车去，所以请告诉我您是跟我一起去还是单独行动。^ ^
Most prob she sleeping lah. I think i will reach around 5.,她 大概 在 睡觉 吧 。 我 想 我 大概 五点钟 才能 到达 。,Most probably她睡觉了lah. I think我will reach around 5.,Most probable她sleeping la. I thinkI shall reach around5.
You sure I sent to you? When u received de? How come I got no sent msg history,你 确定 你 发送 了 吗 ？ 我 何时 收到 ？ 为什么 我 没有 发送信息 的 记录 ？,U sureI sent to you?When u received de?How come I got no sent msg history,"Ya sure ah, when you receive de? How come no sent msg history?"
the cake is here. For supper? Did you get the shawl?,蛋糕 到 了 。 晚饭 吗 ？ 你 拿 了 围巾 了 吗 ？,The cake is here. For supper? Did you get the shawl?,The cakeis here. For supper?Did youget the shawl?
Dearie I waiting for bus. Just missed two busses.... Cn wait at trainplatform?? Kiss u later. Muuacks,亲爱 的 ， 我 在 等 公交车 ， 刚刚 错过 了 两个 公交车 … … 可以 在 火车站 等 一下 吗 ？ 后会 有 见 。 亲亲,亲爱的，我等bus等得花都谢了。刚刚错过了两辆bus，可以去train platform等吗？吻你，晚安。亲亲,"亲爱的dearie, 我在等巴士。刚刚错过了两辆巴士... 可以去火车站台吗？晚点吻你。Muuacks"
"Haha ok :P its Friday! Uhh the sms of you saying you're late! Hahahais it! Omg hahaha but its playing fine on my com! No haha I wasn'texploring, I left a song to play on repeat then when it play finishthe song suddenly change :O study le!",哈哈 ， 星期五 ！ 你 的 sms 说 你 迟到 了 ！ 哈哈 是 的 ！ 哇哇 哇 ， 但是 在 我 机上 播放 正常 ！ 哈哈 我 不是 在 探险 ， 我 离开 了 一首歌 ， 让 它 循环 播放 ， 然后 当 歌曲 播放 完毕 时 ， 突然 变换 ： O ！ 学习 了 ！,哈哈哦 :P 星期五！Uhh 消息说你迟到了！Hahahais it! Omg hahaha 但它在我的电脑上播放得很好！No haha 我没有探索，我留下了一首歌在循环播放，然后当它播放结束时，歌曲突然改变：O 学习了！,哈 哈 哈 哈哈 哈哈 哈哈 哈哈哈 哈哈 哈哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 哈哈 �
"HAPPY NEW YEAR, PULL YOUR EAR! XD! May  <#>  be loads of fun andlaughter! HAPPY HAPPY TWO ZERO ONE ONE!!",新年快乐 ， 拉 你 耳朵 ！ 愿 你 在 二零一 一年 有 许多 欢乐 和 笑声 ！ 快乐 快乐 二零一 一年 ！,"Happy New Year, pull your ear! XD! May the fun and laughter be loads! Happy Happy Two Zero One One!!","HappyNewYear, pull your ear! XD! May 新年be loads of fun and laughter! Happy Happy Two Zero One One!!"
Machan can you bring your hard also? Portable one?,马晨 ， 你 也 带个 硬盘 来 ？ 便携 的 ？,Can machan bring your hard also? Portable one?,Can machan bring also? Portable one?
Just getting back home,只 回家,Just getting backhome,刚到家shall just be到家
No dear feeling alone,不 ， 亲爱 的 感到 孤独,无亲独处shall be无亲,"勿忧伤,勿独处"
Ah.  ok!! Will keep that in mind.,😊,Ahh. Ok! Shall keep that in mind善,Ah.  Ok!! Shall keep that in mind.
"If you reach now, you ll find him.. I ll be late.. might come only at2. Get in touch with Rohan",如果 你 现在 来 ， 你 会 找到 他 … … 我 可能 会 迟到 ， 可能 2 点 才能 到达 ， 请 联系 罗汉,"If you reach now, you'll find him. I'll be late. Might come only at 2. Get in touch with Rohan","If you reach now, you'll find him.. I'll be late.. might come only at 2. Get in touch with Rohan"
Good idea! Den foosball. Eat sakura?,好 主意 ！ 足球 吧 。 吃 桜 ？,善idea! Den foosball. Eat sakura?,Good idea! Den foosball. Eat sakura?
Ohh sorry I just got your message. We're outside the lab now!,哎呀 ， sorry ， 我 刚刚 收到 你 的 信息 。 我们 现在 已经 出现 在 实验室 外面 了 ！,Ohh sorry I just got your message. We're outside the lab now!,"Ohh sorry, we're now outside the lab!"
Anna good morning..If u can c to dat boarding matter nd text me the TP number.. *Activate Rugby Alerts! Type Rugby & Send to  <#> *,安娜 早上好 ， 如果 你 能 去 那边 的 boarding   matter ， 并 发送 TP 号 给 我 。 * 激活 橄榄球   alerts ！ 输入 橄榄球 并发 送到 < # >,Anna早上好！If u can see to dat boarding matter nd text me the TP number.. *激活Rugby警报！Type Rugby & Send to <#> *,Anne早安，如果可以看板的事项，并发短信给我TP号码。*激活Rugby警报！键入Rugby并发送到<#> *
Oh no! I have no idea omg I go check awhile! Uhh  <#> ? The packageis from  <#>  I think!,哎呀 ！ 我 完全 不 知道 哦 ！ 我 去 查 一下 ！ 哎呀 ！ 这个 包裹 来自 ？ 我 想 ！,Oh no! I have no idea omg I go check awhile! Uhh  <#>? The packageis from  <#>  I think!,Oh no!I have no idea omg! I go check awhile!Uhh?The packageis from # I think!
Yes had a good session at the gym,我 昨天 在 健身房 有个 好会,是啊，去健身房好好的锻炼了一番,Yes shall have a good sessionat the gym
How's your week been?,我 的 周末 如何 ？,"Ya know, my week has been like this:",Your weekhow's been?Week
"I only left one orange still standing tall. But cannot last long.. Idrying the rest, see whether can make pressed flowers.hee",我 只 留下 一个 橙子 仍然 立着 。 但是 不能 久留 。 正在 晒 剩下 的 ， 试试 能否 制成 压花 。 他 hee,"I only left one orange still standing tall. But cannot last long.. Idrying the rest, see whether can make pressed flowers.hee",只留一橙，高高矗立。但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒干，看看能否制作压花。i但不能持久。将余者晒
Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry,獲取 瓦拉 爾 4 日 3 月 6 日門票 。 我 的 朋友 星期六 為 我 買票 。 我將 支付 我 的   treat 。 想 去 。 請 回訊 。 Terry,Gt tic 4 Walsall Tue 6th Mar. Mate get me dis Sat. Pay treat. Want 2 go. Txt bak. Terry,购票walsall星期二3月6日。我的朋友星期六会给我。我会付钱。想一起去。回复短信。 Terry
Haha okay! Thank you! :-D,You ' re   welcome !,hahaokay!thankyou!:-D,Thankyou! Haha okay!
"Will check with you when we finalize the reno.  I will keep an eyeout for your request.  Thanks, -Min",我们 完成 改造 时会 和 你 确认 。 我会 注意 你 的 请求 。 谢谢 ， - Min,"Will check with you when we finalize the reno.  I will keep an eyeout for your request.  Thanks, -Min","When we finalize the reno, shall check with you. Keep an eye out for your request. Thanks, -Min"
